date,actual_volume,forecast_volume,week_start,weekly_forecast_total,note
2026-05-01,1520,,2026-04-27,,historical
2026-05-02,1480,,2026-04-27,,historical
2026-05-03,1650,,2026-04-27,,historical
2026-05-04,1720,,2026-05-04,,historical
2026-05-05,1580,,2026-05-04,,historical
2026-05-06,1630,,2026-05-04,,historical
2026-05-07,1490,,2026-05-04,,historical
2026-05-08,1550,,2026-05-04,,historical
2026-05-09,1710,,2026-05-04,,historical
2026-05-10,1680,,2026-05-04,,historical
2026-05-11,1740,,2026-05-11,,historical
2026-05-12,1820,,2026-05-11,,historical
2026-05-13,1790,,2026-05-11,,historical
2026-05-14,1650,,2026-05-11,,historical
2026-05-15,1580,,2026-05-11,,historical
2026-05-16,1700,,2026-05-11,,historical
2026-05-17,1770,,2026-05-11,,historical
2026-05-18,1850,,2026-05-18,,historical
2026-05-19,1920,,2026-05-18,,historical
2026-05-20,1880,,2026-05-18,,historical
2026-05-21,,1900,2026-05-18,13140,forecast
2026-05-22,,1850,2026-05-18,13140,forecast
2026-05-23,,1780,2026-05-18,13140,forecast
2026-05-24,,1910,2026-05-18,13140,forecast
2026-05-25,,1950,2026-05-25,13690,forecast
2026-05-26,,2030,2026-05-25,13690,forecast
2026-05-27,,2100,2026-05-25,13690,forecast
2026-05-28,,1980,2026-05-25,13690,forecast
2026-05-29,,1920,2026-05-25,13690,forecast
2026-05-30,,1870,2026-05-25,13690,forecast
2026-05-31,,1790,2026-05-25,13690,forecast
2026-06-01,,2010,2026-06-01,14280,forecast
2026-06-02,,2150,2026-06-01,14280,forecast
2026-06-03,,2230,2026-06-01,14280,forecast
2026-06-04,,2090,2026-06-01,14280,forecast
2026-06-05,,1950,2026-06-01,14280,forecast
2026-06-06,,1880,2026-06-01,14280,forecast
2026-06-07,,1960,2026-06-01,14280,forecast
2026-06-08,,2140,2026-06-08,14970,forecast
2026-06-09,,2210,2026-06-08,14970,forecast
2026-06-10,,2280,2026-06-08,14970,forecast
2026-06-11,,2150,2026-06-08,14970,forecast
2026-06-12,,2070,2026-06-08,14970,forecast
2026-06-13,,1990,2026-06-08,14970,forecast
2026-06-14,,1890,2026-06-08,14970,forecast
2026-06-15,,2120,2026-06-15,2120,forecast
